"RefDes"	"Name"	"X (mm)"	"Y (mm)"	"Side"	"Rotate"	"Value"	"Height"	"index of name"	"Pattern"
C4	C0805_10uF	76.43	59.43	Top	225	10uF	0	7	0805N
R7	R0805_10K	56.43	60.58	Top	135	10K_1%	0	31	0805N
R8	R0805_10K	53.83	63.31	Top	315	10K_1%	0	31	0805N
R10	R0805_10K	62.81	54.71	Top	135	10K_1%	0	31	0805N
U2	MRF89XAM9A	66.12	66.04	Top	315		0	58	MRF89XAM9A
C5	C0805_100nF	13.58	27.56	Top	315	100nF	0	11	0805N
C6	C0805_100nF	15.93	8.96	Top	135	100nF	0	11	0805N
C7	low-ESR C0805_10uF	28.69	14.69	Top	45	10uF	0	13	low-ESR C0805_10uF
C8	C0805_100nF	17.08	31.56	Top	315	100nF	0	11	0805N
C12	C0805_100nF	25.21	22.93	Top	315	100nF	0	11	0805N
R39	R0805_10K	31.46	28.08	Top	45	10K_1%	0	31	0805N
R47	R0805_27K	18.46	32.93	Top	315	27K_1%	0	47	0805N
T1	511-1356-1-ND	7.77	15.77	Top	45		0	56	511-1356-1-ND
U13	PIC24FJ64GA104-I/PT-ND	18.24	18.18	Top	135		0	62	PIC24FJ64GA104-I/PT-ND
X1	4UCON 00073	25.61	30.23	Top	135		0	66	4UCON 00073
D1	"B0540WSDICT-ND	"	19.72	41.47	Top	135		0	19	"B0540WSDICT-ND	"
Q5	NTE4153NT1G	43.91	19.06	Top	135		0	28	SC89
R43	R0805_10K	41.21	16.71	Top	45	10K_1%	0	31	0805N
Vib1	Vibration 28821-ND	22.38	38.64	Top	135		0	65	28821-ND
C1	C0805_10uF	25.93	71.46	Top	135	10uF	0	7	0805N
C2	C0805_10uF	20.93	70.06	Top	225	10uF	0	7	0805N
C3	C0805_10uF	19.68	72.18	Top	225	10uF	0	7	0805N
C10	C0805_10uF	79.56	51.68	Top	225	10uF	0	7	0805N
D2	DIODE ZENER 6V 5W DO214AA	18.13	75.63	Top	45	6V 5W	0	20	SMBJ5340B-TPMSCT-ND
D4	"B0540WSDICT-ND	"	48.29	69.54	Top	315		0	19	"B0540WSDICT-ND	"
F1	1206L075/13.2WRCT-ND	15.3	78.42	Top	225	Hold = 0.75	0	23	1206L075/13.2WRCT-ND
Q4	NTE4153NT1G	65.04	52.31	Top	135		0	28	SC89
Q6	DMP1045UFY4-7DICT-ND	38.14	79.12	Top	45		0	30	DMP1045UFY4-7DICT-ND
R23	R0805_10K	72.08	46.06	Top	45	10K_1%	0	31	0805N
R28	R0805_10K	15.08	67.96	Top	225	10K_1%	0	31	0805N
R31	R0805_10K	14.21	70.33	Top	45	10K_1%	0	31	0805N
R33	R0805_2K	70.46	47.58	Top	45	2K_5%	0	37	0805N
R34	R0805_10K	68.83	49.21	Top	45	10K_1%	0	31	0805N
R36	R0805_10K	67.06	50.81	Top	225	10K_1%	0	31	0805N
